name,malay_name,acronym,founded,city,state,link
"University of Technology, Malaysia",Universiti Teknologi Malaysia,UTM,1972,Skudai,Johor,http://www.utm.my/
Tun Hussein Onn University of Malaysia,Universiti Tun Hussein Onn Malaysia,UTHM,2000,Batu Pahat,Johor,http://www.uthm.edu.my/
"Northern University, Malaysia",Universiti Utara Malaysia,UUM,1984,Sintok,Kedah,http://www.uum.edu.my
"University of Malaysia, Kelantan",Universiti Malaysia Kelantan,UMK,2006,Pengkalan Chepa,Kelantan,
National Defence University of Malaysia,Universiti Pertahanan Nasional Malaysia,UPNM,2006,Kuala Lumpur,Kuala Lumpur,
University of Malaya,Universiti Malaya,UM,1905,Kuala Lumpur,Kuala Lumpur,
"Technical University of Malaysia, Melaka",Universiti Teknikal Malaysia Melaka,UTeM,2000,Durian Tunggal,Melaka,
Islamic Science University of Malaysia,Universiti Sains Islam Malaysia,USIM,1998,Nilai,Negeri Sembilan,
"University of Malaysia, Pahang",Universiti Malaysia Pahang,UMP,2002,Kuantan,Pahang,
"University of Science, Malaysia",Universiti Sains Malaysia,USM,1969,Gelugor,Pahang,
Sultan Idris University of Education,Universiti Pendidikan Sultan Idris,UPSI,1997,Tanjung Malim,Perak,
"University of Malaysia, Perlis",Universiti Malaysia Perlis,UniMAP,2001,Arau,Perlis,
"University of Malaysia, Sabah",Universiti Malaysia Sabah,UMS,1994,Kota Kinabalu,Sabah,
"University of Malaysia, Sarawak",Universiti Malaysia Sarawak,UNIMAS,1992,Kota Samarahan,Sarawak,
International Islamic University of Malaysia,Universiti Islam Antarabangsa Malaysia,IIUM,1983,Gombak,Selangor,
National University of Malaysia,Universiti Kebangsaan Malaysia,UKM,1970,Bangi,Selangor,
MARA University of Technology,Universiti Teknologi MARA,UiTM,1956,Shah Alam,Selangor,
"Putra University, Malaysia",Universiti Putra Malaysia,UPM,1971,Serdang,Selangor,
Sultan Zainal Abidin University,Universiti Sultan Zainal Abidin,UniSZA,2005,Kuala Terengganu,Terengganu,
"University of Malaysia, Terengganu",Universiti Malaysia Terengganu,UMT,1999,Kuala Terengganu,Terengganu,
"Islamic University of Malaysia, Cyberjaya",Universiti Islam Malaysia,UIM,1955,Cyberjaya,Selangor,
Tunku Abdul Rahman University College,Kolej Universiti Tunku Abdul Rahman,TARC,1969,Karak,Pahang,
University College Shah Putra,Kolej Universiti Shah Putra,UCSA,1997,Kuantan,Pahang,
AIMST University,Universiti AIMST,AIMST,2001,Bedong,Kedah,
Albukhary International University,University Antarabangsa Albukhary,AIU,2010,Alor Setar,Kedah,
Insaniah University College,Kolej Universiti Insaniah,KUIN,1995,Alor Setar,Kedah,
Asia e-University,Universiti Asia e,AeU,2007,Kampung Attap,Kedah,
Asia Pacific University of Technology and Innovation,Universiti Teknologi dan Inovasi Asia Pasifik,APU,1993,Bukit Jalil,Kuala Lumpur,
Asean Metropolitan University College,Kolej Universiti Asian Metropolitan,AMU,1997,Cheras,Kuala Lumpur,
BERJAYA University College of Hospitality,Kolej Universiti Hospitaliti BERJAYA,BERJAYA UCH,2008,Pudu,Kuala Lumpur,
